Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
33,2023-24,Creighton,25,35,25,10,.714,7175,1016,2101,641,1083,375,1018,408,518,294,1040,1334,588,134,143,372,403,2815,.484,.592,.368,.788,.600,.573
34,2023-24,Dayton,25,33,25,8,.758,6625,831,1752,521,975,310,777,476,643,265,842,1107,483,182,129,343,447,2448,.474,.534,.399,.740,.595,.563
35,2023-24,Florida Atlantic,25,34,25,9,.735,6950,992,2074,708,1264,284,810,521,724,396,898,1294,505,244,105,388,546,2789,.478,.560,.351,.720,.577,.547
36,2023-24,Duquesne,25,37,25,12,.676,7398,921,2110,642,1289,279,821,490,681,389,899,1288,497,277,160,433,634,2611,.436,.498,.340,.720,.536,.503
37,2023-24,Clemson,24,36,24,12,.667,7250,991,2115,695,1271,296,844,507,650,326,982,1308,533,165,138,363,585,2785,.469,.547,.351,.780,.575,.539
38,2023-24,Baylor,24,35,24,11,.686,7150,967,2001,666,1228,301,773,579,791,399,830,1229,514,236,110,421,577,2814,.483,.542,.389,.732,.592,.558
39,2023-24,Akron,24,35,24,11,.686,7025,915,2018,635,1155,280,863,467,642,363,915,1278,455,197,100,394,583,2577,.453,.550,.324,.727,.555,.523
40,2023-24,Oregon,24,36,24,12,.667,7267,982,2145,719,1367,263,778,494,687,357,881,1238,497,258,131,366,591,2721,.458,.526,.338,.719,.551,.519
41,2023-24,Oakland,24,36,24,12,.667,7325,966,2166,648,1271,318,895,501,667,383,909,1292,522,237,100,396,544,2751,.446,.510,.355,.751,.554,.519
42,2023-24,Florida,24,36,24,12,.667,7325,1077,2351,797,1539,280,812,646,903,527,995,1522,546,241,189,420,664,3080,.458,.518,.345,.715,.554,.518
43,2023-24,Brigham Young,23,34,23,11,.676,6800,992,2155,614,1068,378,1087,406,547,405,938,1343,629,202,101,364,602,2768,.460,.575,.348,.742,.573,.548
44,2023-24,Nebraska,23,34,23,11,.676,6875,912,2017,593,1124,319,893,500,658,326,954,1280,521,214,89,377,539,2643,.452,.528,.357,.760,.567,.531
45,2023-24,UAB,23,35,23,12,.657,7100,937,2085,722,1427,215,658,622,834,451,878,1329,473,236,159,406,555,2711,.449,.506,.327,.746,.546,.501
46,2023-24,Virginia,23,34,23,11,.676,6875,808,1887,588,1272,220,615,304,477,298,809,1107,509,239,169,274,460,2140,.428,.462,.358,.637,.506,.486
47,2023-24,Texas Tech,23,34,23,11,.676,6825,877,1943,588,1139,289,804,518,664,338,850,1188,501,204,86,378,508,2561,.451,.516,.359,.780,.567,.526
48,2023-24,Kansas,23,34,23,11,.676,6825,960,1967,765,1380,195,587,454,630,280,948,1228,647,243,133,397,502,2569,.488,.554,.332,.721,.567,.538
49,2023-24,Yale,23,33,23,10,.697,6700,919,1969,678,1282,241,687,386,546,326,879,1205,495,204,105,316,499,2465,.467,.529,.351,.707,.553,.528
50,2023-24,Kentucky,23,33,23,10,.697,6675,1055,2132,728,1332,327,800,501,649,332,909,1241,579,248,207,352,577,2938,.495,.547,.409,.772,.602,.572
51,2023-24,Stetson,22,35,22,13,.629,7025,950,2053,637,1196,313,857,474,619,339,877,1216,465,187,108,369,516,2687,.463,.533,.365,.766,.572,.539
