Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
40,2023-24,South Florida,25,33,25,8,.758,69.0,109.8,100.5,.518,.557,13.7,28.2,69.5,.378,.479,.511,15.8,30.5,71.8,.346
41,2023-24,Tarleton State,25,35,25,10,.714,68.4,108.0,100.0,.503,.541,14.1,31.2,68.0,.308,.497,.529,18.1,32.0,68.8,.339
42,2023-24,Washington State,25,35,25,10,.714,66.4,109.9,99.7,.518,.547,14.0,32.9,75.0,.316,.472,.511,13.8,25.0,67.1,.323
43,2023-24,Akron,24,35,24,11,.686,66.9,109.6,98.5,.523,.555,14.5,30.6,74.8,.318,.486,.514,15.2,25.2,69.4,.283
44,2023-24,Baylor,24,35,24,11,.686,66.8,117.8,104.2,.558,.592,15.0,35.8,72.9,.395,.515,.547,15.4,27.1,64.2,.303
45,2023-24,UC Irvine,24,34,24,10,.706,69.7,110.5,97.2,.524,.560,14.3,31.7,73.0,.332,.462,.503,15.4,27.0,68.3,.344
46,2023-24,Clemson,24,36,24,12,.667,67.8,113.4,104.3,.539,.575,13.0,27.2,73.4,.307,.482,.520,12.1,26.6,72.8,.321
47,2023-24,Fairfield,24,37,24,13,.649,68.9,109.6,103.0,.523,.555,13.5,28.5,69.9,.279,.520,.543,17.6,30.1,71.5,.255
48,2023-24,Florida,24,36,24,12,.667,73.1,115.1,106.5,.518,.554,13.1,37.3,71.2,.384,.493,.529,12.6,28.8,62.7,.348
49,2023-24,Montana,24,36,24,12,.667,67.2,113.6,106.2,.552,.586,13.6,26.2,73.7,.290,.498,.534,12.6,26.3,73.8,.339
50,2023-24,Norfolk State,24,35,24,11,.686,68.3,108.7,98.5,.515,.554,15.3,32.6,69.3,.398,.485,.530,19.4,30.7,67.4,.412
51,2023-24,Oakland,24,36,24,12,.667,68.0,110.5,105.8,.519,.554,13.8,30.4,71.0,.308,.506,.537,14.1,29.0,69.6,.269
52,2023-24,Oregon,24,36,24,12,.667,68.4,109.6,104.8,.519,.551,12.9,28.6,72.7,.320,.515,.548,15.7,27.3,71.4,.323
