Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
161,2023-24,Green Bay,18,32,18,14,.563,64.6,106.0,105.9,.530,.557,16.2,27.7,71.8,.289,.487,.527,12.4,28.2,72.3,.345
162,2023-24,Howard,18,35,18,17,.514,69.4,106.5,105.6,.522,.566,18.9,34.4,69.8,.418,.504,.540,15.1,30.2,65.6,.386
163,2023-24,Liberty,18,32,18,14,.563,66.0,111.0,98.5,.555,.570,13.9,26.1,76.2,.255,.489,.522,15.6,23.8,73.9,.286
164,2023-24,Marist,18,31,18,13,.581,65.5,98.6,94.9,.508,.536,16.8,23.0,73.2,.298,.471,.506,18.0,26.8,77.0,.350
165,2023-24,Monmouth,18,33,18,15,.545,68.0,106.4,106.7,.493,.525,13.2,30.6,67.7,.293,.500,.539,15.3,32.3,69.4,.333
166,2023-24,North Carolina Central,18,31,18,13,.581,69.2,109.9,99.0,.518,.552,14.7,32.2,67.5,.394,.472,.515,17.2,32.5,67.8,.360
167,2023-24,North Dakota,18,32,18,14,.563,67.9,110.4,105.4,.512,.543,12.7,31.4,74.4,.310,.511,.542,13.9,25.6,68.6,.280
168,2023-24,Northern Kentucky,18,33,18,15,.545,69.7,105.8,103.5,.510,.546,15.2,29.9,68.0,.357,.509,.540,17.7,32.0,70.1,.288
169,2023-24,San Diego,18,33,18,15,.545,72.0,100.7,107.4,.488,.525,16.1,27.5,68.6,.320,.523,.556,16.1,31.4,72.5,.381
170,2023-24,Southern,18,32,18,14,.563,70.7,99.8,96.4,.502,.532,17.6,28.8,70.9,.357,.493,.539,20.6,29.1,71.2,.456
171,2023-24,Stephen F. Austin,18,33,18,15,.545,71.5,102.4,97.8,.503,.543,18.9,34.4,70.2,.421,.492,.540,20.5,29.8,65.6,.455
172,2023-24,Tennessee State,18,33,18,15,.545,69.8,103.8,101.3,.500,.544,16.5,29.0,68.7,.365,.477,.524,16.5,31.3,71.0,.410
173,2023-24,UTEP,18,34,18,16,.529,71.4,101.0,96.0,.497,.535,17.8,30.2,69.4,.421,.506,.548,22.9,30.6,69.8,.448
174,2023-24,Villanova,18,34,18,16,.529,64.3,106.9,99.8,.506,.545,13.0,24.9,75.7,.268,.483,.515,14.3,24.3,75.1,.260
175,2023-24,Wright State,18,32,18,14,.563,72.6,117.7,110.6,.586,.615,14.4,28.6,72.1,.328,.542,.568,14.6,27.9,71.4,.292
176,2023-24,Bethune-Cookman,17,34,17,17,.500,71.8,100.4,100.0,.481,.528,16.7,29.9,67.5,.372,.491,.539,19.7,32.5,70.1,.474
177,2023-24,UCF,17,33,17,16,.515,69.3,103.0,97.6,.478,.517,15.3,32.9,73.1,.372,.479,.524,18.0,26.9,67.1,.395
178,2023-24,Denver,17,34,17,17,.500,71.1,111.9,111.2,.520,.557,12.1,27.8,71.3,.370,.528,.560,12.9,28.7,72.2,.308
179,2023-24,Eastern Kentucky,17,31,17,14,.548,71.8,112.0,106.0,.521,.546,13.4,34.9,69.2,.315,.491,.526,13.4,30.8,65.1,.288
180,2023-24,Evansville,17,35,17,18,.486,69.6,101.1,104.4,.506,.535,14.9,22.5,74.1,.282,.516,.546,15.3,25.9,77.5,.277
181,2023-24,Florida State,17,33,17,16,.515,72.2,105.7,105.3,.503,.539,14.3,28.5,67.2,.368,.522,.557,17.9,32.8,71.5,.410
182,2023-24,Furman,17,33,17,16,.515,71.2,109.9,105.0,.521,.554,14.2,29.9,73.6,.322,.521,.544,14.7,26.4,70.1,.276
183,2023-24,Gardner-Webb,17,33,17,16,.515,70.2,103.5,103.0,.498,.522,14.2,29.4,74.1,.352,.491,.530,14.2,25.9,70.6,.375
184,2023-24,Kent State,17,34,17,17,.500,67.7,108.5,103.4,.511,.548,14.8,31.8,71.3,.320,.512,.548,16.9,28.7,68.2,.345
185,2023-24,Louisiana State,17,33,17,16,.515,70.7,107.5,105.6,.522,.559,16.1,30.7,68.6,.383,.497,.538,15.6,31.4,69.3,.337
186,2023-24,Missouri State,17,33,17,16,.515,68.4,102.6,102.7,.497,.530,15.2,29.1,75.3,.315,.480,.509,11.5,24.7,70.9,.249
187,2023-24,Montana State,17,35,17,18,.486,69.7,106.4,105.3,.547,.574,15.1,20.8,71.6,.296,.524,.557,16.8,28.4,79.2,.359
188,2023-24,Portland State,17,32,17,15,.531,69.5,102.8,102.7,.476,.510,13.8,30.2,72.0,.335,.511,.540,16.5,28.0,69.8,.328
189,2023-24,SIU Edwardsville,17,33,17,16,.515,67.7,105.6,103.6,.484,.521,13.5,31.1,71.4,.321,.504,.541,16.0,28.6,68.9,.358
190,2023-24,Texas State,17,35,17,18,.486,68.4,101.4,101.7,.484,.522,16.7,31.9,70.7,.376,.493,.534,16.5,29.3,68.1,.371
191,2023-24,Wagner,17,33,17,16,.515,63.0,100.0,99.0,.458,.489,13.2,30.0,73.1,.259,.483,.512,15.3,26.9,70.0,.294
192,2023-24,Washington,17,32,17,15,.531,72.0,109.8,105.1,.535,.565,14.1,27.1,71.1,.321,.501,.532,13.8,28.9,72.9,.331
193,2023-24,Winthrop,17,32,17,15,.531,68.3,110.7,102.3,.531,.570,16.1,31.8,69.0,.486,.488,.530,16.5,31.0,68.2,.332
194,2023-24,Wofford,17,32,17,15,.531,67.5,108.7,107.7,.539,.552,14.7,30.2,75.4,.279,.508,.545,12.3,24.6,69.8,.328
195,2023-24,Abilene Christian,16,34,16,18,.471,71.1,100.3,102.2,.479,.522,15.6,26.6,70.3,.381,.514,.547,17.8,29.7,73.4,.398
196,2023-24,American,16,32,16,16,.500,63.1,108.1,106.9,.530,.557,15.0,28.4,74.8,.283,.535,.559,15.1,25.2,71.6,.298
197,2023-24,Arkansas,16,33,16,17,.485,72.2,106.1,108.9,.505,.556,14.6,25.2,70.1,.453,.504,.545,13.1,29.9,74.8,.390
198,2023-24,Boston University,16,33,16,17,.485,65.9,99.7,100.0,.482,.516,15.3,26.8,77.2,.303,.496,.529,15.3,22.8,73.2,.355
199,2023-24,California Baptist,16,33,16,17,.485,65.7,101.7,100.6,.470,.507,15.2,32.9,76.0,.377,.486,.519,13.7,24.0,67.1,.295
200,2023-24,UC Riverside,16,34,16,18,.471,67.7,104.0,105.9,.464,.499,11.9,31.1,75.0,.285,.521,.554,14.6,25.0,68.9,.34
201,2023-24,UC Santa Barbara,16,31,16,15,.516,69.0,108.4,105.8,.546,.583,16.8,26.4,74.0,.402,.509,.534,12.7,26.0,73.6,.296
202,2023-24,Iona,16,33,16,17,.485,68.0,104.9,103.8,.500,.522,13.0,28.3,69.0,.285,.528,.566,19.6,31.0,71.7,.375
203,2023-24,Jacksonville,16,33,16,17,.485,68.6,104.4,105.2,.491,.528,16.1,36.3,70.4,.359,.506,.544,16.0,29.6,63.7,.390
204,2023-24,La Salle,16,33,16,17,.485,67.3,106.4,106.9,.499,.526,12.2,27.5,69.7,.246,.503,.537,13.7,30.3,72.5,.327
205,2023-24,Maryland,16,33,16,17,.485,66.3,103.0,98.3,.467,.515,14.9,31.7,70.9,.408,.467,.514,16.4,29.1,68.3,.335
206,2023-24,Mercer,16,33,16,17,.485,67.5,105.4,106.4,.502,.527,14.1,31.2,69.0,.288,.507,.547,15.7,31.0,68.8,.394
207,2023-24,Kansas City,16,32,16,16,.500,67.3,105.2,101.4,.498,.529,15.1,32.6,74.2,.298,.497,.540,16.5,25.8,67.4,.430
208,2023-24,New Hampshire,16,31,16,15,.516,73.3,100.7,100.7,.485,.522,14.5,23.7,75.2,.292,.495,.526,14.8,24.8,76.3,.275
209,2023-24,Niagara,16,32,16,16,.500,67.9,105.5,105.0,.527,.566,15.6,24.0,73.7,.362,.519,.548,14.7,26.3,76.0,.309
210,2023-24,North Florida,16,32,16,16,.500,69.4,111.1,108.0,.543,.574,14.3,25.5,71.7,.283,.513,.547,13.1,28.3,74.5,.318
211,2023-24,Penn State,16,33,16,17,.485,70.2,106.1,103.7,.503,.544,13.8,26.8,67.8,.353,.502,.547,17.9,32.2,73.2,.363
212,2023-24,Radford,16,33,16,17,.485,65.3,109.1,108.4,.519,.550,14.2,30.9,66.7,.282,.498,.529,13.4,33.3,69.1,.309
213,2023-24,Sacred Heart,16,32,16,16,.500,70.3,105.4,102.8,.518,.545,14.6,27.1,67.1,.309,.507,.533,17.6,32.9,72.9,.313
214,2023-24,South Alabama,16,32,16,16,.500,70.2,103.8,106.1,.506,.544,14.3,22.6,68.5,.324,.505,.536,14.7,31.5,77.4,.336
215,2023-24,Southern Mississippi,16,32,16,16,.500,69.5,100.6,102.2,.479,.519,16.0,29.4,70.5,.380,.491,.521,15.2,29.5,70.6,.325
216,2023-24,Temple,16,36,16,20,.444,68.0,102.1,105.0,.463,.500,12.3,28.4,70.6,.320,.500,.538,15.0,29.4,71.6,.357
217,2023-24,Texas Southern,16,33,16,17,.485,69.5,100.5,101.8,.476,.512,15.5,30.2,69.0,.302,.483,.525,15.8,31.0,69.8,.394
218,2023-24,Tulsa,16,31,16,15,.516,71.4,103.8,102.3,.506,.549,16.0,24.8,69.7,.404,.490,.524,15.5,30.3,75.2,.352
219,2023-24,UCLA,16,33,16,17,.485,64.8,101.9,101.1,.469,.512,14.4,30.4,72.2,.354,.495,.530,16.0,27.8,69.6,.353
220,2023-24,Utah Valley,16,32,16,16,.500,69.2,98.6,98.4,.474,.509,15.4,28.5,73.3,.354,.477,.513,16.1,26.7,71.5,.350
221,2023-24,Xavier,16,34,16,18,.471,71.5,106.1,104.4,.491,.530,14.0,31.9,71.1,.318,.495,.527,13.9,28.9,68.1,.297
222,2023-24,Ball State,15,31,15,16,.484,67.8,107.2,103.4,.513,.558,15.5,28.3,72.6,.385,.506,.534,15.2,27.4,71.7,.277
223,2023-24,Binghamton,15,30,15,15,.500,68.6,104.3,104.5,.508,.535,15.3,30.2,75.4,.342,.486,.524,12.0,24.6,69.8,.327
224,2023-24,Davidson,15,32,15,17,.469,65.9,104.7,101.5,.496,.533,13.9,26.5,72.5,.331,.493,.524,15.3,27.5,73.5,.323
225,2023-24,Delaware State,15,34,15,19,.441,70.2,98.7,99.3,.474,.516,17.8,33.6,69.9,.391,.507,.542,19.2,30.1,66.4,.346
226,2023-24,East Carolina,15,33,15,18,.455,65.8,104.5,106.0,.479,.515,13.9,32.9,69.2,.352,.512,.549,16.4,30.8,67.1,.320
227,2023-24,FDU,15,32,15,17,.469,73.6,102.4,104.6,.486,.520,14.9,28.5,69.6,.338,.520,.548,17.0,30.4,71.5,.318
228,2023-24,George Washington,15,32,15,17,.469,70.4,106.2,106.8,.518,.555,15.2,25.9,70.9,.344,.497,.525,12.1,29.1,74.1,.222
229,2023-24,Illinois State,15,32,15,17,.469,65.3,101.9,103.7,.479,.519,14.9,29.0,74.3,.360,.506,.537,14.6,25.7,71.0,.271
230,2023-24,Jackson State,15,32,15,17,.469,70.0,101.4,107.6,.470,.509,16.0,34.9,68.0,.347,.526,.558,16.5,32.0,65.1,.345
231,2023-24,Kennesaw State,15,31,15,16,.484,75.4,109.0,106.3,.518,.544,13.7,30.7,70.5,.335,.507,.547,15.5,29.5,69.3,.408
232,2023-24,Le Moyne,15,32,15,17,.469,69.2,104.3,101.0,.514,.544,14.7,23.7,69.9,.246,.495,.522,16.5,30.1,76.3,.257
233,2023-24,Maine,15,32,15,17,.469,68.1,98.6,98.3,.485,.518,14.9,23.4,72.7,.295,.492,.522,17.0,27.3,76.6,.321
234,2023-24,Miami (FL),15,32,15,17,.469,69.9,107.9,104.9,.527,.554,15.0,28.7,71.4,.246,.510,.533,14.4,28.6,71.3,.223
235,2023-24,Miami (OH),15,32,15,17,.469,68.5,102.6,101.8,.515,.545,15.3,23.7,70.4,.317,.485,.521,15.7,29.6,76.3,.315
236,2023-24,Omaha,15,33,15,18,.455,68.0,108.0,106.4,.506,.549,12.8,25.0,75.4,.392,.525,.558,14.8,24.6,75.0,.317
237,2023-24,North Alabama,15,32,15,17,.469,68.6,109.2,108.7,.508,.548,12.7,27.8,72.4,.328,.506,.547,12.7,27.6,72.2,.401
238,2023-24,North Dakota State,15,32,15,17,.469,66.6,109.1,108.1,.545,.571,14.5,26.0,76.3,.296,.521,.549,12.3,23.7,74.0,.271
239,2023-24,Rider,15,32,15,17,.469,69.1,103.2,103.1,.483,.522,15.3,31.9,71.3,.317,.488,.524,14.3,28.7,68.1,.362
240,2023-24,Rutgers,15,32,15,17,.469,68.6,95.0,96.6,.435,.469,14.1,30.2,68.7,.329,.472,.509,18.6,31.3,69.8,.343
241,2023-24,Southeastern Louisiana,15,32,15,17,.469,66.9,102.3,105.2,.498,.536,17.7,31.8,69.7,.347,.505,.537,15.3,30.3,68.2,.301
242,2023-24,Southern California,15,33,15,18,.455,69.7,104.8,105.1,.517,.546,15.7,29.0,67.8,.336,.502,.538,16.1,32.2,71.0,.316
243,2023-24,Wichita State,15,34,15,19,.441,69.5,104.0,104.4,.500,.526,15.1,32.2,71.7,.264,.483,.516,12.6,28.3,67.8,.278
244,2023-24,Wyoming,15,32,15,17,.469,67.9,106.4,108.8,.519,.560,16.4,29.1,71.2,.391,.522,.551,14.3,28.8,70.9,.271
245,2023-24,Alcorn State,14,32,14,18,.438,68.3,104.8,112.9,.487,.527,14.5,33.6,69.7,.378,.548,.580,15.0,30.3,66.4,.366
246,2023-24,Arizona State,14,32,14,18,.438,70.6,97.5,104.5,.473,.502,13.2,21.9,70.2,.331,.517,.546,16.8,29.8,78.1,.312
247,2023-24,Bucknell,14,33,14,19,.424,64.1,100.6,103.6,.504,.534,16.7,25.8,71.4,.290,.495,.527,14.4,28.6,74.2,.315
248,2023-24,Cal State Fullerton,14,32,14,18,.438,67.5,100.2,102.1,.491,.532,16.1,24.8,70.8,.399,.493,.530,16.2,29.2,75.2,.349
249,2023-24,Campbell,14,32,14,18,.438,67.0,104.8,106.4,.530,.562,15.9,24.4,69.5,.339,.512,.537,15.0,30.5,75.6,.242
250,2023-24,Canisius,14,32,14,18,.438,68.5,101.9,104.4,.501,.520,16.6,33.5,71.3,.283,.505,.533,14.3,28.7,66.5,.277
251,2023-24,Eastern Illinois,14,32,14,18,.438,68.2,101.0,99.5,.467,.501,13.1,29.0,73.7,.267,.505,.541,18.4,26.3,71.0,.352
252,2023-24,Florida Gulf Coast,14,32,14,18,.438,65.6,106.9,108.0,.524,.548,15.0,30.0,71.8,.276,.520,.545,13.7,28.2,70.0,.278
253,2023-24,Georgia State,14,31,14,17,.452,70.6,107.4,105.1,.495,.531,11.9,27.8,70.5,.285,.484,.521,12.8,29.5,72.2,.343
254,2023-24,Georgia Tech,14,32,14,18,.438,68.2,102.5,108.6,.487,.519,15.2,31.6,71.5,.292,.492,.530,11.1,28.5,68.4,.316
255,2023-24,Harvard,14,27,14,13,.519,67.8,102.9,104.9,.505,.538,15.7,26.8,68.8,.348,.495,.520,13.8,31.2,73.2,.248
256,2023-24,Idaho State,14,34,14,20,.412,64.9,106.7,106.1,.517,.545,14.5,30.4,74.5,.329,.534,.566,16.5,25.5,69.6,.308
257,2023-24,Jacksonville State,14,32,14,18,.438,67.1,104.0,98.7,.499,.535,17.1,33.9,75.5,.372,.494,.528,16.6,24.5,66.1,.339
258,2023-24,Lehigh,14,32,14,18,.438,69.9,101.6,99.3,.500,.536,15.1,22.8,76.9,.316,.504,.532,16.1,23.1,77.2,.288
259,2023-24,Middle Tennessee,14,33,14,19,.424,66.8,96.5,103.3,.467,.506,17.7,29.1,69.4,.342,.489,.523,14.2,30.6,70.9,.295
260,2023-24,Northern Arizona,14,33,14,19,.424,69.0,98.7,110.2,.493,.524,16.1,24.1,68.9,.311,.529,.563,14.6,31.1,75.9,.374
261,2023-24,Presbyterian,14,33,14,19,.424,68.9,107.7,105.3,.527,.553,14.4,27.6,72.5,.369,.519,.559,16.5,27.5,72.4,.416
262,2023-24,Queens (NC),14,33,14,19,.424,73.6,108.7,110.8,.513,.545,13.5,29.2,71.3,.331,.534,.564,13.8,28.7,70.8,.294
263,2023-24,South Carolina State,14,32,14,18,.438,70.3,99.0,105.4,.462,.501,17.8,38.7,69.5,.362,.516,.566,18.7,30.5,61.3,.481
264,2023-24,Stanford,14,32,14,18,.438,70.9,106.1,106.2,.543,.570,16.1,23.2,72.7,.286,.519,.541,13.7,27.3,76.8,.253
265,2023-24,Tulane,14,31,14,17,.452,73.4,109.8,107.2,.541,.581,13.7,20.6,67.7,.452,.508,.539,14.8,32.3,79.4,.317
266,2023-24,Alabama State,13,32,13,19,.406,69.5,97.0,98.1,.423,.463,13.2,32.4,71.9,.284,.482,.529,18.2,28.1,67.6,.420
267,2023-24,Albany (NY),13,32,13,19,.406,74.6,105.1,105.2,.507,.538,15.4,30.5,71.0,.288,.510,.549,15.3,29.0,69.5,.383
268,2023-24,Arkansas–Pine Bluff,13,31,13,18,.419,74.3,107.8,110.1,.539,.579,16.1,24.3,68.5,.375,.513,.546,13.5,31.5,75.7,.327
269,2023-24,Brown,13,31,13,18,.419,67.7,103.6,104.3,.500,.526,15.5,31.9,73.1,.332,.509,.538,15.1,26.9,68.1,.319
270,2023-24,Cal State Bakersfield,13,32,13,19,.406,66.3,102.4,103.1,.474,.512,15.3,33.9,69.1,.323,.493,.542,17.1,30.9,66.1,.464
271,2023-24,California,13,32,13,19,.406,69.7,103.7,108.0,.492,.525,14.1,28.6,73.3,.292,.513,.546,13.0,26.7,71.4,.331
272,2023-24,Chicago State,13,32,13,19,.406,67.6,102.4,103.9,.480,.520,16.5,34.2,65.4,.372,.518,.544,18.2,34.6,65.8,.336
273,2023-24,Columbia,13,27,13,14,.481,70.0,110.0,103.6,.541,.570,15.3,29.5,72.2,.299,.509,.537,15.6,27.8,70.5,.269
274,2023-24,Eastern Michigan,13,31,13,18,.419,66.4,98.3,108.2,.478,.502,15.0,28.7,69.2,.249,.513,.540,13.7,30.8,71.3,.308
275,2023-24,Elon,13,32,13,19,.406,68.0,107.5,110.9,.520,.550,15.1,30.2,67.6,.318,.526,.553,14.0,32.4,69.8,.282
276,2023-24,Fordham,13,33,13,20,.394,69.3,99.8,102.5,.467,.500,15.5,32.6,72.6,.352,.504,.548,17.4,27.4,67.4,.451
277,2023-24,Marshall,13,33,13,20,.394,72.5,101.7,105.7,.472,.505,14.0,30.1,72.0,.291,.510,.539,14.3,28.0,69.9,.295
278,2023-24,Mount St. Mary's,13,32,13,19,.406,69.3,103.7,102.4,.532,.558,18.2,30.2,72.1,.267,.493,.532,15.7,27.9,69.8,.303
279,2023-24,Navy,13,31,13,18,.419,65.4,100.8,101.1,.446,.488,13.1,32.4,69.9,.349,.497,.534,17.8,30.1,67.6,.351
280,2023-24,New Mexico State,13,32,13,19,.406,68.6,97.5,104.3,.480,.512,15.3,26.0,71.8,.339,.493,.533,14.7,28.2,74.0,.419
281,2023-24,Notre Dame,13,33,13,20,.394,64.8,97.6,102.4,.476,.512,16.7,28.4,73.3,.279,.482,.513,13.2,26.7,71.6,.274
282,2023-24,Oregon State,13,32,13,19,.406,66.2,101.7,107.3,.499,.539,16.2,26.8,69.2,.361,.508,.543,14.8,30.8,73.2,.355
283,2023-24,Pepperdine,13,33,13,20,.394,68.4,106.4,108.2,.510,.541,14.3,29.1,74.7,.326,.540,.570,15.1,25.3,70.9,.334
284,2023-24,Saint Louis,13,33,13,20,.394,69.8,107.4,113.8,.520,.561,15.0,25.9,71.2,.373,.538,.571,12.7,28.8,74.1,.355
285,2023-24,Texas A&M–Commerce,13,33,13,20,.394,68.7,100.8,105.1,.487,.518,14.5,25.6,67.8,.297,.510,.546,16.6,32.2,74.4,.384
286,2023-24,Alabama A&M,12,35,12,23,.343,71.7,95.8,105.3,.459,.514,19.4,31.9,67.3,.472,.491,.543,16.8,32.7,68.1,.452
287,2023-24,Fresno State,12,33,12,21,.364,66.0,101.0,110.3,.516,.543,16.8,24.3,69.5,.309,.530,.553,13.6,30.5,75.7,.275
288,2023-24,Illinois–Chicago,12,33,12,21,.364,68.7,100.4,102.3,.512,.536,15.9,23.4,71.8,.259,.481,.526,15.2,28.2,76.6,.356
289,2023-24,Loyola Marymount,12,31,12,19,.387,66.4,109.0,107.6,.521,.551,14.0,29.7,73.3,.290,.502,.535,11.3,26.7,70.3,.293
290,2023-24,Murray State,12,32,12,20,.375,65.5,106.1,106.3,.503,.531,12.6,27.0,74.8,.297,.541,.566,16.1,25.2,73.0,.271
291,2023-24,Northeastern,12,32,12,20,.375,65.8,105.5,109.9,.512,.546,16.4,31.8,72.3,.298,.538,.569,14.9,27.7,68.2,.283
292,2023-24,Oklahoma State,12,32,12,20,.375,68.0,103.2,105.7,.513,.544,16.5,27.5,71.5,.340,.513,.544,14.7,28.5,72.5,.276
293,2023-24,Oral Roberts,12,31,12,19,.387,68.6,106.2,108.9,.517,.547,12.6,21.8,69.6,.267,.510,.543,13.4,30.4,78.2,.301
294,2023-24,Portland,12,33,12,21,.364,69.0,103.3,114.7,.514,.545,15.4,24.1,72.1,.307,.549,.568,11.5,27.9,75.9,.221
295,2023-24,Rhode Island,12,32,12,20,.375,69.0,105.2,110.7,.517,.543,15.9,30.0,72.2,.396,.523,.545,11.4,27.8,70.0,.295
296,2023-24,South Dakota,12,32,12,20,.375,69.8,107.3,111.7,.522,.555,15.8,30.2,72.4,.304,.520,.547,10.8,27.6,69.8,.260
297,2023-24,Western Michigan,12,32,12,20,.375,68.6,102.7,107.8,.499,.520,16.3,33.8,70.3,.311,.509,.541,13.7,29.7,66.2,.309
298,2023-24,The Citadel,11,32,11,21,.344,67.0,105.0,106.4,.515,.546,15.7,28.5,73.9,.338,.528,.551,14.6,26.1,71.5,.224
299,2023-24,Utah Tech,11,31,11,20,.355,71.9,97.7,106.3,.506,.534,19.4,28.4,68.5,.405,.503,.547,16.0,31.5,71.6,.423
300,2023-24,Florida International,11,33,11,22,.333,72.1,101.8,105.8,.507,.531,16.5,27.9,64.1,.282,.546,.574,20.6,35.9,72.1,.363
301,2023-24,Idaho,11,32,11,21,.344,65.9,102.6,107.7,.510,.540,15.4,24.1,72.7,.274,.522,.559,14.8,27.3,75.9,.366
302,2023-24,Lafayette,11,32,11,21,.344,65.3,94.7,101.5,.470,.495,15.5,24.5,70.8,.240,.483,.521,15.4,29.2,75.5,.310
303,2023-24,Louisiana–Monroe,11,30,11,19,.367,69.1,100.7,107.3,.463,.498,15.1,34.8,70.7,.372,.514,.553,15.4,29.3,65.2,.368
304,2023-24,UMBC,11,32,11,21,.344,74.7,104.8,107.6,.528,.550,15.4,25.8,69.4,.246,.502,.534,13.1,30.6,74.2,.286
305,2023-24,Morgan State,11,31,11,20,.355,71.7,100.6,107.3,.491,.529,17.5,31.2,64.8,.301,.500,.534,15.1,35.2,68.8,.384
306,2023-24,Northern Illinois,11,31,11,20,.355,69.7,103.7,109.6,.507,.537,15.7,29.0,68.8,.365,.514,.543,13.3,31.2,71.0,.345
307,2023-24,Pennsylvania,11,29,11,18,.379,66.5,110.1,110.0,.534,.555,14.3,30.0,73.4,.272,.532,.556,13.0,26.6,70.0,.266
308,2023-24,Rice,11,32,11,21,.344,67.5,105.4,110.8,.510,.537,14.8,29.1,70.7,.296,.523,.553,13.0,29.3,70.9,.270
309,2023-24,UTSA,11,32,11,21,.344,71.3,107.2,111.8,.487,.523,13.2,32.4,71.4,.344,.516,.548,11.4,28.6,67.6,.344
310,2023-24,Army,10,32,10,22,.313,63.1,94.5,100.8,.477,.492,16.6,27.3,74.6,.257,.493,.525,15.1,25.4,72.7,.307
311,2023-24,Charleston Southern,10,30,10,20,.333,68.3,99.0,107.9,.474,.512,15.6,27.9,71.4,.307,.499,.533,12.1,28.6,72.1,.328
312,2023-24,Holy Cross,10,33,10,23,.303,65.4,101.2,113.6,.506,.527,14.9,24.1,72.2,.256,.532,.561,11.2,27.8,75.9,.299
313,2023-24,New Orleans,10,33,10,23,.303,73.1,100.1,108.2,.462,.508,14.6,29.3,65.4,.382,.523,.558,17.1,34.6,70.7,.370
314,2023-24,Prairie View A&M,10,31,10,21,.323,72.8,96.4,104.9,.461,.506,15.5,26.9,66.2,.369,.530,.568,19.8,33.8,73.1,.464
315,2023-24,Robert Morris,10,32,10,22,.313,68.7,104.1,108.6,.503,.533,16.9,33.8,71.8,.280,.520,.555,13.7,28.2,66.2,.360
316,2023-24,Sacramento State,10,34,10,24,.294,65.5,102.4,107.4,.500,.533,18.8,35.4,75.4,.322,.531,.560,14.1,24.6,64.6,.320
317,2023-24,USC Upstate,10,30,10,20,.333,68.4,102.4,105.2,.511,.531,14.7,24.6,67.4,.302,.504,.547,16.8,32.6,75.4,.448
318,2023-24,Southern Utah,10,31,10,21,.323,71.4,104.6,108.2,.493,.533,14.6,28.5,67.6,.362,.524,.553,15.1,32.4,71.5,.312
319,2023-24,Tennessee Tech,10,31,10,21,.323,67.6,98.9,108.4,.508,.538,16.0,18.8,72.7,.309,.524,.553,13.5,27.3,81.2,.229
320,2023-24,William & Mary,10,33,10,23,.303,66.7,104.4,107.8,.490,.523,13.9,28.1,71.9,.325,.505,.543,12.8,28.1,71.9,.338
321,2023-24,Air Force,9,31,9,22,.290,63.4,103.6,113.2,.538,.560,16.9,23.8,68.5,.296,.542,.580,15.3,31.5,76.2,.391
322,2023-24,Central Arkansas,9,32,9,23,.281,70.7,101.7,110.1,.481,.517,15.4,29.7,70.2,.288,.528,.559,14.1,29.8,70.3,.330
323,2023-24,Coastal Carolina,9,31,9,22,.290,71.5,102.0,108.9,.498,.525,16.2,30.9,70.1,.328,.496,.524,11.2,29.9,69.1,.296
324,2023-24,Georgetown,9,32,9,23,.281,67.4,104.3,114.6,.486,.523,15.2,33.4,69.3,.339,.557,.584,14.3,30.7,66.6,.336
325,2023-24,Georgia Southern,9,33,9,24,.273,70.1,103.5,111.8,.508,.540,16.3,28.8,66.2,.289,.520,.558,14.6,33.8,71.2,.430
326,2023-24,Hampton,9,33,9,24,.273,70.8,101.4,107.9,.484,.517,15.2,30.1,69.6,.294,.500,.536,13.2,30.4,69.9,.294
327,2023-24,Lindenwood,9,31,9,22,.290,68.1,95.3,106.9,.446,.496,15.5,24.5,71.7,.378,.533,.568,16.3,28.3,75.5,.378
328,2023-24,Maryland Eastern Shore,9,29,9,20,.310,68.3,94.2,102.0,.452,.492,17.2,29.4,68.5,.325,.496,.528,16.9,31.5,70.6,.365
329,2023-24,Northwestern State,9,32,9,23,.281,69.3,100.2,107.8,.486,.516,16.3,30.7,65.5,.354,.512,.547,16.2,34.5,69.3,.406
330,2023-24,San Jose State,9,32,9,23,.281,66.4,104.0,112.1,.520,.542,14.0,23.1,70.5,.228,.542,.570,14.0,29.5,76.9,.356
331,2023-24,Southeast Missouri State,9,31,9,22,.290,70.4,94.8,104.0,.465,.497,15.1,24.8,71.9,.277,.509,.547,15.8,28.1,75.2,.425
332,2023-24,Vanderbilt,9,32,9,23,.281,67.8,99.7,111.4,.454,.496,13.2,28.2,70.7,.352,.530,.566,13.9,29.3,71.8,.295
333,2023-24,West Virginia,9,32,9,23,.281,68.7,100.8,111.0,.495,.532,16.2,26.7,69.6,.371,.521,.551,13.0,30.4,73.3,.281
334,2023-24,Bellarmine,8,31,8,23,.258,66.8,103.1,111.1,.499,.530,12.7,22.6,71.8,.224,.528,.559,13.2,28.2,77.4,.304
335,2023-24,Incarnate Word,8,31,8,23,.258,71.9,99.6,108.4,.494,.533,19.1,30.3,70.5,.359,.510,.548,13.5,29.5,69.7,.396
336,2023-24,Louisville,8,32,8,24,.250,70.4,101.8,111.8,.484,.531,15.9,28.1,72.5,.388,.546,.577,14.3,27.5,71.9,.338
