Rk,Season,Team,W,G,W,L,W/L%,MP,Team FG,Team FGA,Team 2P,Team 2PA,Team 3P,Team 3PA,Team FT,Team FTA,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Team PTS,Opponent FG,Opponent FGA,Opponent 2P,Opponent 2PA,Opponent 3P,Opponent 3PA,Opponent FT,Opponent FTA,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent PTS
18,2023-24,College of Charleston,27,35,27,8,.771,200.7,28.7,65.1,18.2,34.5,10.5,30.6,12.9,17.9,13.1,26.7,39.8,15.3,6.3,3.1,9.9,15.9,80.9,26.8,60.3,19.1,37.9,7.7,22.4,12.2,17.4,9.3,25.8,35.1,11.6,6.1,3.3,11.5,16.5,73.6
19,2023-24,Duke,27,36,27,9,.750,200.0,27.9,58.7,19.6,36.7,8.3,22.0,14.6,20.1,10.6,26.0,36.6,15.3,6.5,3.7,9.7,15.9,78.6,24.6,57.1,18.3,37.3,6.3,19.8,10.9,16.1,9.1,22.5,31.6,12.5,5.3,4.4,11.3,16.1,66.3
20,2023-24,Gonzaga,27,35,27,8,.771,200.0,32.0,61.8,25.1,42.5,6.9,19.3,13.6,18.9,10.8,27.9,38.7,16.7,6.7,3.9,9.8,15.6,84.5,25.2,62.0,17.6,39.3,7.6,22.7,11.1,15.5,10.6,21.1,31.7,12.4,5.4,2.6,11.2,16.7,69.1
21,2023-24,High Point,27,36,27,9,.750,203.5,27.8,60.1,19.4,35.7,8.3,24.4,20.1,25.8,13.2,26.8,40.0,11.9,5.1,3.3,11.1,18.1,83.9,26.2,59.5,19.8,40.7,6.4,18.8,15.6,21.4,9.4,22.1,31.5,11.7,4.9,2.8,10.0,21.2,74.4
22,2023-24,Marquette,27,37,27,10,.730,200.7,29.1,61.0,20.3,35.9,8.8,25.1,10.9,15.6,8.7,24.1,32.8,15.9,8.6,3.5,10.0,15.0,78.1,24.8,58.3,16.4,33.3,8.4,24.9,11.7,15.7,10.7,25.1,35.8,14.8,5.7,3.1,14.7,14.6,69.8
23,2023-24,Tennessee,27,36,27,9,.750,200.0,27.2,61.8,18.4,36.3,8.8,25.4,15.6,20.8,11.6,27.1,38.7,16.7,7.8,4.6,10.2,17.5,78.8,22.6,58.1,15.2,34.2,7.4,23.9,14.7,20.7,10.6,24.5,35.1,11.1,6.3,2.8,13.0,18.1,67.4
24,2023-24,Colorado,26,37,26,11,.703,202.0,28.4,57.3,21.5,39.8,6.9,17.5,15.8,20.1,9.9,27.0,36.9,16.2,6.0,2.2,12.6,14.8,79.3,26.6,60.4,19.8,39.1,6.8,21.3,11.7,16.5,8.9,21.3,30.2,11.6,7.4,3.7,10.6,17.8,71.7
25,2023-24,Morehead State,26,35,26,9,.743,200.0,27.0,57.7,17.6,31.7,9.4,26.1,11.9,16.9,11.6,27.6,39.2,15.0,5.9,4.6,11.8,15.8,75.3,22.5,57.3,16.8,38.3,5.7,19.0,12.6,16.8,9.3,21.3,30.7,9.5,5.9,2.6,10.5,15.6,63.4
26,2023-24,Nevada,26,34,26,8,.765,200.7,25.9,54.7,19.2,36.3,6.7,18.4,17.4,24.2,8.9,25.4,34.3,15.0,6.3,3.6,10.1,17.6,75.9,23.2,55.5,15.8,32.4,7.4,23.0,13.1,18.8,9.3,23.3,32.6,13.0,5.0,2.4,11.9,21.1,66.9
27,2023-24,New Mexico,26,36,26,10,.722,200.0,29.6,65.1,23.2,45.3,6.5,19.8,15.3,21.6,12.8,26.9,39.7,14.6,8.7,4.9,10.0,17.6,81.0,24.9,58.9,18.4,37.5,6.5,21.4,14.4,19.7,9.8,25.6,35.4,13.5,5.9,4.3,14.0,18.1,70.7
28,2023-24,NC State,26,41,26,15,.634,202.4,27.2,60.6,20.3,40.4,7.0,20.2,14.2,19.4,10.1,25.2,35.3,13.1,7.2,3.6,9.6,16.2,75.6,25.4,58.7,18.2,37.1,7.2,21.6,13.6,18.5,10.3,25.9,36.2,12.9,5.1,3.2,12.2,16.1,71.8
29,2023-24,St. Mary's (CA),26,34,26,8,.765,201.5,27.5,59.0,19.9,37.5,7.6,21.6,11.4,16.8,13.2,26.4,39.6,16.2,6.6,3.8,10.2,16.4,74.0,20.9,52.9,16.0,37.2,4.9,15.6,12.4,17.3,7.5,20.2,27.7,9.9,5.4,2.9,10.9,15.9,59.2
30,2023-24,San Diego State,26,37,26,11,.703,203.4,25.8,58.6,18.8,36.4,7.0,22.2,15.5,21.2,11.7,26.1,37.8,13.0,7.4,4.0,11.2,17.5,74.1,23.2,57.2,15.9,33.8,7.3,23.4,13.1,18.4,10.2,23.5,33.6,11.5,6.1,3.0,12.4,18.5,66.7
31,2023-24,South Carolina,26,34,26,8,.765,201.5,25.4,57.9,17.4,34.1,8.1,23.8,13.1,18.4,11.4,24.2,35.6,15.4,4.8,3.2,10.1,16.2,72.1,24.3,56.3,18.3,38.6,6.0,17.6,13.1,17.8,9.4,23.3,32.7,11.6,5.8,4.6,9.8,16.3,67.6
32,2023-24,Alabama,25,37,25,12,.676,201.4,30.7,64.5,19.5,34.5,11.2,29.9,17.6,22.8,12.8,26.9,39.6,15.9,6.9,4.4,11.8,19.8,90.1,27.8,63.5,20.3,39.9,7.5,23.6,18.2,24.6,12.1,23.7,35.8,12.8,7.4,4.4,11.3,20.0,81.2
33,2023-24,Colgate,25,35,25,10,.714,200.0,26.5,56.5,18.8,34.9,7.8,21.6,10.5,15.4,8.2,27.4,35.6,15.0,6.5,3.5,10.5,13.4,71.4,23.8,57.7,16.7,34.5,7.1,23.2,9.3,13.9,8.9,24.1,33.0,12.7,5.7,2.5,11.2,14.3,64.1
34,2023-24,Colorado State,25,36,25,11,.694,201.4,27.2,56.2,19.9,34.5,7.3,21.7,13.4,17.8,7.9,25.6,33.4,18.0,6.3,3.1,10.4,17.0,75.2,24.0,56.4,17.9,37.4,6.1,19.0,13.1,17.7,9.3,23.5,32.8,11.3,5.4,2.8,11.5,16.8,67.3
35,2023-24,Creighton,25,35,25,10,.714,205.0,29.0,60.0,18.3,30.9,10.7,29.1,11.7,14.8,8.4,29.7,38.1,16.8,3.8,4.1,10.6,11.5,80.4,27.8,66.4,21.8,47.9,6.0,18.5,8.4,10.6,9.9,23.7,33.6,11.5,6.0,2.8,7.6,14.8,69.9
36,2023-24,Dayton,25,33,25,8,.758,200.8,25.2,53.1,15.8,29.5,9.4,23.5,14.4,19.5,8.0,25.5,33.5,14.6,5.5,3.9,10.4,13.5,74.2,24.7,59.0,17.2,35.3,7.6,23.7,9.4,12.9,10.2,22.5,32.8,12.6,5.9,3.0,10.4,16.6,66.5
37,2023-24,Duquesne,25,37,25,12,.676,199.9,24.9,57.0,17.4,34.8,7.5,22.2,13.2,18.4,10.5,24.3,34.8,13.4,7.5,4.3,11.7,17.1,70.6,23.3,55.1,16.7,34.3,6.6,20.8,13.5,19.0,10.4,23.9,34.3,12.4,6.4,3.8,13.1,16.9,66.7
38,2023-24,Florida Atlantic,25,34,25,9,.735,204.4,29.2,61.0,20.8,37.2,8.4,23.8,15.3,21.3,11.6,26.4,38.1,14.9,7.2,3.1,11.4,16.1,82.0,26.8,61.6,19.3,39.4,7.5,22.2,12.2,16.8,10.9,23.2,34.1,10.5,6.0,2.5,11.6,18.0,73.4
39,2023-24,Seton Hall,25,37,25,12,.676,202.7,26.7,59.0,20.5,40.6,6.2,18.4,14.2,18.2,12.0,25.2,37.3,13.0,7.6,4.8,12.6,15.2,73.8,25.0,59.3,16.7,34.1,8.3,25.2,11.6,15.2,10.3,22.2,32.5,14.2,7.4,4.4,12.2,16.3,69.9
40,2023-24,South Florida,25,33,25,8,.758,200.0,25.4,57.6,16.4,33.2,8.9,24.4,16.1,21.8,9.9,26.1,36.0,14.9,6.9,3.4,10.8,17.2,75.7,24.4,58.3,17.5,36.2,7.0,22.1,13.5,20.2,11.5,25.3,36.8,12.4,6.2,3.0,12.7,18.5,69.3
41,2023-24,Tarleton State,25,35,25,10,.714,200.7,27.2,59.7,21.4,41.9,5.8,17.8,13.9,18.4,10.8,23.2,34.1,13.8,8.8,3.5,11.3,17.3,74.1,24.4,55.9,17.7,35.6,6.7,20.3,13.1,18.9,10.9,23.9,34.8,11.8,5.7,3.6,14.3,16.9,68.6
42,2023-24,Washington State,25,35,25,10,.714,201.4,27.1,58.5,20.7,39.7,6.4,18.8,13.0,18.5,11.2,26.5,37.6,12.4,5.2,4.9,10.9,16.6,73.5,23.8,56.5,18.1,38.9,5.7,17.6,13.3,18.3,8.8,22.8,31.6,10.9,5.6,2.6,10.4,17.0,66.7
43,2023-24,Akron,24,35,24,11,.686,200.7,26.1,57.7,18.1,33.0,8.0,24.7,13.3,18.3,10.4,26.1,36.5,13.0,5.6,2.9,11.3,16.7,73.6,24.4,56.7,18.0,35.6,6.4,21.1,11.0,16.0,8.8,23.6,32.4,11.2,5.9,2.5,11.5,17.1,66.2
44,2023-24,Baylor,24,35,24,11,.686,204.3,27.6,57.2,19.0,35.1,8.6,22.1,16.5,22.6,11.4,23.7,35.1,14.7,6.7,3.1,12.0,16.5,80.4,25.8,56.8,19.0,36.5,6.8,20.2,12.7,17.2,8.8,20.4,29.2,13.7,7.0,3.4,11.8,19.0,71.1
45,2023-24,UC Irvine,24,34,24,10,.706,201.5,28.4,59.9,22.6,43.2,5.8,16.6,14.9,19.9,10.6,27.3,37.9,15.6,6.4,3.3,11.6,18.4,77.6,24.0,58.4,18.1,40.6,5.9,17.7,14.3,20.1,10.1,22.9,32.9,11.7,5.7,3.7,12.4,17.8,68.3
46,2023-24,Clemson,24,36,24,12,.667,201.4,27.5,58.8,19.3,35.3,8.2,23.4,14.1,18.1,9.1,27.3,36.3,14.8,4.6,3.8,10.1,16.3,77.4,24.6,59.4,16.5,35.0,8.1,24.4,13.9,19.1,9.9,24.2,34.1,11.0,6.1,2.5,9.5,15.9,71.2
47,2023-24,Fairfield,24,37,24,13,.649,200.0,26.8,60.0,17.5,34.5,9.2,25.5,12.7,16.8,9.9,23.5,33.5,13.4,8.5,2.2,10.6,14.4,75.5,26.7,58.3,19.4,36.9,7.3,21.4,10.4,14.8,10.1,25.0,35.1,13.4,5.7,2.9,13.9,15.3,71.0
48,2023-24,Florida,24,36,24,12,.667,203.5,29.9,65.3,22.1,42.8,7.8,22.6,17.9,25.1,14.6,27.6,42.3,15.2,6.7,5.3,11.7,18.4,85.6,28.3,64.2,21.5,43.4,6.8,20.8,15.9,22.4,11.2,24.6,35.8,12.0,7.5,4.0,10.8,19.4,79.2
49,2023-24,Montana,24,36,24,12,.667,201.4,28.0,57.6,20.3,36.1,7.7,21.5,13.3,16.7,8.3,25.8,34.1,14.9,4.8,3.0,10.3,16.7,76.9,25.7,57.9,19.5,39.2,6.3,18.7,14.1,19.6,9.2,23.4,32.6,11.1,5.8,3.0,9.7,16.0,71.8
